iter	RMSE
151	0.1896362272
152	0.1887064922
153	0.1878771363
154	0.1869489949
155	0.1860262063
156	0.185060324
157	0.1841224354
158	0.1832812471
159	0.1823554023
160	0.1815294019
161	0.1806165764
162	0.1797786423
163	0.178993361
164	0.1782103647
165	0.1773744001
166	0.1765535878
167	0.1758180419
168	0.1749677582
169	0.1741343511
170	0.1733077118
171	0.172449479
172	0.1717578076
173	0.1709980341
174	0.1701553341
175	0.1694866997
176	0.1688044355
177	0.1681045895
178	0.167287509
179	0.1664647448
180	0.1657471601
181	0.1650411198
182	0.1643387727
183	0.1636021537
184	0.1629590006
185	0.1622640225
186	0.1615967568
187	0.160883732
188	0.1602374187
189	0.1595627122
190	0.1588895484
191	0.1582749554
192	0.1576615562
193	0.1570073023
194	0.1562923178
195	0.1556389964
196	0.1550359093
197	0.1544166635
198	0.1537147401
199	0.1531459324
200	0.1524653971
201	0.1517777806
202	0.1511091679
203	0.1505886801
204	0.1500874536
205	0.1495577022
206	0.1489834612
207	0.1483588225
208	0.1478078193
209	0.1472450585
210	0.1466444043
211	0.1460362399
212	0.1455116648
213	0.1450256261
214	0.1445188924
215	0.1440304896
216	0.1434732722
217	0.1429923982
218	0.1424547106
219	0.1419574961
220	0.1414373828
221	0.1410300052
222	0.1405190102
223	0.1399521728
224	0.1394115282
225	0.1389039075
226	0.1384230849
227	0.137938764
228	0.1374815427
229	0.1369881109
230	0.1364967991
231	0.135964151
232	0.1355422951
233	0.1350144
234	0.1345189462
235	0.134066894
236	0.1336250433
237	0.1331739139
238	0.1327153227
239	0.1322569116
240	0.13178132
241	0.1313044634
242	0.1308935099
243	0.1305032615
244	0.130134255
245	0.1297104585
246	0.1292641943
247	0.1287757342
248	0.1283200264
249	0.127971329
250	0.1275777127
251	0.1272276675
252	0.1267789795
253	0.1263990259
254	0.1260215485
255	0.1256223749
256	0.1252394595
257	0.1248684562
258	0.1244718639
259	0.1240889826
260	0.123734631
261	0.123366993
262	0.1229881737
263	0.1226212549
264	0.122266821
265	0.1219126847
266	0.1215968466
267	0.1212411345
268	0.1208966868
269	0.1205550557
270	0.1201621141
271	0.1198360712
272	0.1194666548
273	0.1191572089
274	0.1188241398
275	0.1184929135
276	0.1181754851
277	0.1178655168
278	0.1174839486
279	0.1171108173
280	0.1167971122
281	0.1164898654
282	0.1162018901
283	0.1158866289
284	0.1155611862
285	0.1152435633
286	0.1149689107
287	0.1146808246
288	0.1143628325
289	0.1140260353
290	0.1137239516
291	0.1134423078
292	0.1131429543
293	0.1127969245
294	0.11249338
295	0.1122259999
296	0.1119508361
297	0.1116778713
298	0.1113944307
299	0.111122854
300	0.1108562559
301	0.1104582109
302	0.1101926839
303	0.1098588786
304	0.1095519335
305	0.1092271449
306	0.1089509012
307	0.1086632093
308	0.1083536429
309	0.1081172283
310	0.1078036663
311	0.107579469
312	0.1073128153
313	0.1070384586
314	0.1067827958
315	0.1064863665
316	0.1061754477
317	0.1058658933
318	0.105669867
319	0.1054308717
320	0.1052019521
321	0.1049385352
322	0.1046934194
323	0.1044118663
324	0.1041290223
325	0.1038507305
326	0.1035738218
327	0.10331131
328	0.1029538811
329	0.1026254422
330	0.1024196687
331	0.102214399
332	0.1020041956
333	0.1016952282
334	0.1014772615
335	0.1012794433
336	0.101083165
337	0.1008232199
338	0.1005734153
339	0.1002788295
340	0.1000749047
341	0.09987557209
342	0.09962088125
343	0.09941288847
344	0.09914375296
345	0.09894275809
346	0.0987349165
347	0.09856469254
348	0.09824000772
349	0.09798687633
350	0.0977938373
351	0.09755524074
352	0.09725540025
353	0.09704620915
354	0.09680337865
355	0.09660161282
356	0.0964145387
357	0.09614340707
358	0.09600732735
359	0.0957304714
360	0.09556112792
361	0.0952936949
362	0.095018961
363	0.09475644329
364	0.09455584918
365	0.0943376883
366	0.09414204721
367	0.09399781875
368	0.09381715989
369	0.09366249956
370	0.09343492894
371	0.09330349405
372	0.09308572734
373	0.09292753513
374	0.09270375501
375	0.09243317632
376	0.09227371255
377	0.09209390796
378	0.09188173629
379	0.09170008441
380	0.09148344262
381	0.09129179736
382	0.09106653512
383	0.09091517315
384	0.09072024125
385	0.09053364086
386	0.09030184289
387	0.09015656578
388	0.0899689999
389	0.08980140706
390	0.08964112421
391	0.08950198744
392	0.08936001597
393	0.08924146965
394	0.08903554911
395	0.08891745924
396	0.08874563734
397	0.08857542889
398	0.0883678489
399	0.08812679635
400	0.08794832921
401	0.08778866537
402	0.08760967885
403	0.08746609654
404	0.08733420833
405	0.08716562377
406	0.08701135921
407	0.08680923881
408	0.08663557821
409	0.08648120142
410	0.08632806709
411	0.08620048457
412	0.08603330894
413	0.08588506639
414	0.08572578407
415	0.08560654768
416	0.08547197319
417	0.08535995898
418	0.08518441704
419	0.08499616462
420	0.0848531928
421	0.0847299208
422	0.08457211897
423	0.08440228877
424	0.08425849317
425	0.08412057057
426	0.08396900901
427	0.08376578327
428	0.08363870601
429	0.0835467541
430	0.08344465668
431	0.08332959436
432	0.08321274715
433	0.08306558538
434	0.08294084859
435	0.08284886795
436	0.08266934576
437	0.08256476569
438	0.08244770366
439	0.08231080901
440	0.08211029889
441	0.08195915772
442	0.08183970041
443	0.08168298603
444	0.08154077087
445	0.08138078425
446	0.08128105856
447	0.08111149835
448	0.08096026401
449	0.0808594923
450	0.08069024186
451	0.08053724194
452	0.08039626392
453	0.08029190239
454	0.08016937551
455	0.08004622381
456	0.07992295649
457	0.07983162367
458	0.07974291278
459	0.07961732594
460	0.07951063404
461	0.07934776423
462	0.07921498457
463	0.07910800374
464	0.0789575362
465	0.07883235066
466	0.07870178846
467	0.07856708702
468	0.07843638174
469	0.0782577093
470	0.07812111336
471	0.07799650638
472	0.07787118437
473	0.07775752454
474	0.07764712106
475	0.07749932373
476	0.07739850305
477	0.07731943985
478	0.07721626042
479	0.07710409725
480	0.07702493284
481	0.07692970158
482	0.07679464466
483	0.0766347946
484	0.07651419539
485	0.07640426746
486	0.07632954722
487	0.07623211998
488	0.07606893109
489	0.07597563324
490	0.07590042567
491	0.0757796915
492	0.07563969802
493	0.07555793821
494	0.0754292533
495	0.07529544896
496	0.07519266681
497	0.07510368944
498	0.07496310646
499	0.07485414453
